[2022-05-08 00:57:39,490] [28] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:57:39,831] [28] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:57:39,969] [28] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:57:40,082] [28] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:57:40,196] [28] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:57:40,414] [28] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:57:40,631] [28] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:57:40,840] [28] 127.0.0.1 requested http://localhost/aboutINFO in __init__: Processing request
[2022-05-08 00:57:41,040] [28] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: Processing request
[2022-05-08 00:57:41,247] [28] 127.0.0.1 requested http://localhost/page5INFO in __init__: Processing request
[2022-05-08 00:58:48,291] [38] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:58:48,527] [38] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:58:48,532] [38] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:58:48,626] [38] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:58:48,990] [38] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:58:49,198] [38] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:58:49,408] [38] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:58:49,609] [38] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:58:49,814] [38] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:58:49,929] [38] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:58:50,068] [38] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:58:50,178] [38] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:58:50,274] [38] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:58:50,381] [38] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:58:50,591] [38] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:58:50,600] [38] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:58:50,816] [38] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:58:50,923] [38] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:58:51,025] [38] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:58:51,129] [38] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:58:51,315] [38] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:58:51,532] [38] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:58:51,751] [38] 127.0.0.1 requested http://localhost/aboutINFO in __init__: Processing request
[2022-05-08 00:58:51,957] [38] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: Processing request
[2022-05-08 00:58:52,177] [38] 127.0.0.1 requested http://localhost/page5INFO in __init__: Processing request
[2022-05-08 01:05:46,297] [40] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 01:05:46,516] [40] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 01:05:46,521] [40] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 01:05:46,627] [40] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 01:05:46,989] [40] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 01:05:47,192] [40] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 01:05:47,411] [40] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
